                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      57                  9.8201879319456842E-001                  1.3436154842616705E+000                  3.6673803376646439E+000                 -7.7804649640614931E+000                  3.6822629533452549E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      58                  9.8201876683714051E-001                  1.3435852826960668E+000                  3.6696192100586154E+000                 -7.7747630600725905E+000                  3.6902009355421002E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      59                  9.8201874541406531E-001                  1.3435610507669009E+000                  3.6710542901722056E+000                 -7.7711546397570572E+000                  3.6952424364851226E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      60                  9.8201873604146983E-001                  1.3435505357554807E+000                  3.6724266003106778E+000                 -7.7677391952508215E+000                  3.7000282505078861E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      61                  9.8201871585048750E-001                  1.3435280585988230E+000                  3.6749989360847870E+000                 -7.7614215737509955E+000                  3.7089148527599778E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      62                  9.8201868028585582E-001                  1.3434890305469529E+000                  3.6776342477219717E+000                 -7.7550523366931072E+000                  3.7179169590429653E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      63                  9.8201865821559953E-001                  1.3434651584237032E+000                  3.6795363202988454E+000                 -7.7505240054380371E+000                  3.7243466596886412E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      64                  9.8201863839215875E-001                  1.3434439356560643E+000                  3.6822585146640230E+000                 -7.7441446266984952E+000                  3.7334493051644873E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      65                  9.8201859784703682E-001                  1.3434011519674800E+000                  3.6854067617094430E+000                 -7.7369036564282370E+000                  3.7438425977342189E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      66                  9.8201856792680664E-001                  1.3433700939066890E+000                  3.6881471779285699E+000                 -7.7307291017148154E+000                  3.7527630711195785E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      67                  9.8201853602542666E-001                  1.3433374396436413E+000                  3.6907052273820833E+000                 -7.7250757551084837E+000                  3.7609807773820565E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      68                  9.8201850985834060E-001                  1.3433109960127780E+000                  3.6928469621285736E+000                 -7.7204281058610329E+000                  3.7677759965025088E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      69                  9.8201848718360463E-001                  1.3432883217078715E+000                  3.6953132163639202E+000                 -7.7151761924685287E+000                  3.7755011486005223E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      70                  9.8201845340804439E-001                  1.3432549463085737E+000                  3.6978374073239388E+000                 -7.7099245948628159E+000                  3.7832839828921503E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      71                  9.8201842930506567E-001                  1.3432314105393002E+000                  3.7003326807661745E+000                 -7.7048537128876697E+000                  3.7908565779964620E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      72                  9.8201839610102959E-001                  1.3431993581024662E+000                  3.7033423710848830E+000                 -7.6989202238738761E+000                  3.7998064831980014E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      73                  9.8201836029431933E-001                  1.3431652544931272E+000                  3.7062050134473541E+000                 -7.6934764008760999E+000                  3.8081185026326150E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      74                  9.8201833074309119E-001                  1.3431374534882885E+000                  3.7091728978989011E+000                 -7.6880318438399060E+000                  3.8165361592749396E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      75                  9.8201829283579778E-001                  1.3431022279437692E+000                  3.7118465172419164E+000                 -7.6833368726387663E+000                  3.8239092691253500E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
