                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      80                  7.5272012352000972E-001                  2.2362302091209467E+000                  3.5699270120345106E+000                 -8.3232409770736311E+000                  3.0417930871117580E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      81                  7.5270469320856082E-001                  2.2361006159741135E+000                  3.5726521829208022E+000                 -8.3215149144228491E+000                  3.0462817410338148E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      82                  7.5269026869202738E-001                  2.2359798462447591E+000                  3.5757761525279799E+000                 -8.3197256095113392E+000                  3.0512336068035983E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      83                  7.5267143389835012E-001                  2.2358226488546222E+000                  3.5786498695379896E+000                 -8.3182947576365152E+000                  3.0555702606423418E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      84                  7.5266087020902395E-001                  2.2357346986268021E+000                  3.5808898123564559E+000                 -8.3172728749200253E+000                  3.0588553058415133E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      85                  7.5264898598961072E-001                  2.2356359229044633E+000                  3.5832792766546229E+000                 -8.3162896513836380E+000                  3.0622515171806262E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      86                  7.5263750435278354E-001                  2.2355406452152100E+000                  3.5852820543185113E+000                 -8.3155480381042981E+000                  3.0650148472338681E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      87                  7.5262985556259443E-001                  2.2354772470684221E+000                  3.5874103723502162E+000                 -8.3148170394006797E+000                  3.0678935986456781E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      88                  7.5261745649411449E-001                  2.2353745895048314E+000                  3.5907478853409023E+000                 -8.3138054553527745E+000                  3.0722716929925720E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      89                  7.5259913883575391E-001                  2.2352231492258561E+000                  3.5936482703709212E+000                 -8.3130794183805037E+000                  3.0759216048625095E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      90                  7.5259164634884579E-001                  2.2351612633691116E+000                  3.5953886331006562E+000                 -8.3126782683189244E+000                  3.0780763698246565E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      91                  7.5258380798479141E-001                  2.2350965521486645E+000                  3.5983904573780920E+000                 -8.3120428876226384E+000                  3.0817350714018259E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      92                  7.5256545567967559E-001                  2.2349451494713293E+000                  3.6021554822454145E+000                 -8.3113828629171422E+000                  3.0861852806335368E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      93                  7.5255169652207421E-001                  2.2348317079532554E+000                  3.6049328378783456E+000                 -8.3109556801209710E+000                  3.0894074148997794E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      94                  7.5254202349757082E-001                  2.2347519810220566E+000                  3.6074999988449434E+000                 -8.3105911196409394E+000                  3.0923545479069046E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      95                  7.5253012702682587E-001                  2.2346539501255629E+000                  3.6095553522074231E+000                 -8.3103217793981372E+000                  3.0946908333102758E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      96                  7.5252483561875883E-001                  2.2346103528654107E+000                  3.6114968856683527E+000                 -8.3100749877982700E+000                  3.0968894259400588E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      97                  7.5251387388972157E-001                  2.2345200459384857E+000                  3.6139568469422971E+000                 -8.3097766545324507E+000                  3.0996598129593083E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      98                  7.5250425479585037E-001                  2.2344408081858225E+000                  3.6167764489813203E+000                 -8.3094445386379920E+000                  3.1028243763012275E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      99                  7.5249022055459258E-001                  2.2343252110549408E+000                  3.6194451694586638E+000                 -8.3091367854283718E+000                  3.1058124550337749E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     100                  7.5248178533992072E-001                  2.2342557367648244E+000                  3.6212131709978279E+000                 -8.3089338189683506E+000                  3.1077910548551300E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     101                  7.5247526617793237E-001                  2.2342020457597380E+000                  3.6235698189842318E+000                 -8.3086630389425924E+000                  3.1104287254544127E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     102                  7.5246175315439257E-001                  2.2340907601598023E+000                  3.6265124190061999E+000                 -8.3083189975894420E+000                  3.1137281617621930E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     103                  7.5245006161843730E-001                  2.2339944825469087E+000                  3.6295508494362472E+000                 -8.3079554733309724E+000                  3.1171430478241517E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     104                  7.5243548712333219E-001                  2.2338744751095696E+000                  3.6320920722144110E+000                 -8.3076384974398163E+000                  3.1200116257563835E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     105                  7.5242786153158003E-001                  2.2338116916253430E+000                  3.6344333200926844E+000                 -8.3073392724907098E+000                  3.1226612364910573E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     106                  7.5241486267498825E-001                  2.2337046796263160E+000                  3.6370986344290386E+000                 -8.3069807249888630E+000                  3.1256950459061752E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     107                  7.5240411446687239E-001                  2.2336162092100453E+000                  3.6395211823570399E+000                 -8.3066397222824282E+000                  3.1284673965631442E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     108                  7.5239303411643521E-001                  2.2335250198881553E+000                  3.6419882482054082E+000                 -8.3062745040708688E+000                  3.1313087041560927E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     109                  7.5238161648025415E-001                  2.2334310736974814E+000                  3.6444979956729879E+000                 -8.3058819298074820E+000                  3.1342203614995445E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     110                  7.5236984559844200E-001                  2.2333342446717772E+000                  3.6473806110517915E+000                 -8.3054033909294311E+000                  3.1375923061549518E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     111                  7.5235459091887358E-001                  2.2332087993356358E+000                  3.6499605886911870E+000                 -8.3049386265555629E+000                  3.1406465152398151E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     112                  7.5234521284521627E-001                  2.2331317082577145E+000                  3.6522711535566432E+000                 -8.3045012577713013E+000                  3.1434024895868555E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     113                  7.5233222991294069E-001                  2.2330250237001765E+000                  3.6549491814730390E+000                 -8.3039567993997014E+000                  3.1466333321613189E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     114                  7.5231884307164176E-001                  2.2329150756901295E+000                  3.6569730452161386E+000                 -8.3035144299579464E+000                  3.1491048769799699E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     115                  7.5231194478235097E-001                  2.2328584441765127E+000                  3.6590358805452925E+000                 -8.3030474733338018E+000                  3.1516390174916737E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     116                  7.5229793469387318E-001                  2.2327434838293510E+000                  3.6621442482541204E+000                 -8.3022921582927012E+000                  3.1555071329945563E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     117                  7.5227982746418165E-001                  2.2325950274030593E+000                  3.6645599454565780E+000                 -8.3016532374838796E+000                  3.1585638573476484E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     118                  7.5227238565154875E-001                  2.2325340595427003E+000                  3.6663142936416113E+000                 -8.3011752255304128E+000                  3.1607973417389617E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     119                  7.5226105564415435E-001                  2.2324412900876021E+000                  3.6691705901893168E+000                 -8.3003618250141411E+000                  3.1644686206129435E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     120                  7.5224134509534801E-001                  2.2322800618487695E+000                  3.6720244812245006E+000                 -8.2994884130348439E+000                  3.1681977085651076E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     121                  7.5222930288737311E-001                  2.2321816687698139E+000                  3.6738232546153800E+000                 -8.2989169486979968E+000                  3.1705693702783253E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     122                  7.5222102646107047E-001                  2.2321140949032019E+000                  3.6760195771948414E+000                 -8.2982036690001877E+000                  3.1734811936271909E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     123                  7.5220421966697681E-001                  2.2319770021478020E+000                  3.6793313712213513E+000                 -8.2970806039180740E+000                  3.1779208943498682E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     124                  7.5218250434480027E-001                  2.2318001363876721E+000                  3.6822935409237734E+000                 -8.2960283667621368E+000                  3.1819418650275528E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                     125                  7.5216904561356024E-001                  2.2316906755221160E+000                  3.6849416409956390E+000                 -8.2950701331373828E+000                  3.1855559971439362E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
